"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
"1","-0.998","-0.6471","0.0772","INTERLEUKIN-2 
FAMILY 
SIGNALING%REACTOME%R-HSA-451927.5 ","1.0","IL2RA|GRB2|SOS1|PIK3CD|SOS2|STAT4|CSF2RB|PIK3CA|STAT1|SHC1|STAT3|SYK|PIK3R1|IL2RG|HAVCR2|LGALS9|PTK2B|IL15RA|JAK1|IL21R|JAK3|STAT5B|PIK3CB|PIK3R2|IL5RA|IL2RB|PTPN6|INPP5D|GAB2|PIK3R3|STAT5A|IL15|JAK2|LCK|INPPL1","Interleukin-2 family signaling","35","ENR","INTERLEUKIN-2 FAMILY SIGNALING%REACTOME%R-HSA-451927.5","-1.4443","0.002","INTERLEUKIN-2 FAMILY SIGNALING%REACTOME%R-HSA-451927.5",,,"false","INTERLEUKIN-2 FAMILY SIGNALING%REACTOME%R-HSA-451927.5"
"1","-0.9835","-0.6733","0.0899","COMMON PATHWAYS 
UNDERLYING DRUG 
ADDICTION%WIKIPATHWAYS_20210210%WP2636%HOMO 
SAPIENS ","1.0","ARAF|MAP2K1|GRIA3|GNAS|CALM2|GNAI1|CREB1|PRKCB|PRKCA|RAF1|CAMK4|MAP2K2|ACTG1|PPP1CC|MAPK1|MAPK3|RAP1A","Common Pathways Underlying Drug Addiction","17","ENR","COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20210210%WP2636%HOMO SAPIENS","-1.4212","0.0165","COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20210210%WP2636%HOMO SAPIENS",,,"false","COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20210210%WP2636%HOMO SAPIENS"
"1","-0.9848","-0.6657","0.0938","BIOCARTA_GLEEVEC_
PATHWAY%MSIGDB_
C2%BIOCARTA_
GLEEVEC_PATHWAY","1.0","MAPK8|GRB2|SOS1|MYC|MAP2K1|HRAS|CRKL|MAP2K4|RAF1|PIK3CA|STAT1|FOS|PIK3R1|BAD|JUN|MAP3K1|BCR|MAPK3|STAT5B","BIOCARTA_GLEEVEC_PATHWAY","19","ENR","BIOCARTA_GLEEVEC_PATHWAY%MSIGDB_C2%BIOCARTA_GLEEVEC_PATHWAY","-1.416","0.0152","BIOCARTA_GLEEVEC_PATHWAY%MSIGDB_C2%BIOCARTA_GLEEVEC_PATHWAY",,,"false","BIOCARTA_GLEEVEC_PATHWAY%MSIGDB_C2%BIOCARTA_GLEEVEC_PATHWAY"
"1","-0.9919","-0.6819","0.0756","FLK2 
FLT3%IOB%FLK2 
FLT3 ","1.0","CEBPA|CBL|PTPN11|LYN|CREB1|ATF2|FOXO3|INPP5D|GAB2|SHC1|ATF1|STAT3|BAD|MAPK1|JUN|FLT3|MAPK3|STAT5B","FLK2 FLT3","18","ENR","FLK2 FLT3%IOB%FLK2 FLT3","-1.4464","0.0081","FLK2 FLT3%IOB%FLK2 FLT3",,,"false","FLK2 FLT3%IOB%FLK2 FLT3"
"1","-1.0","-0.6116","0.085","GM-CSF%IOB%GM-C
SF
","1.0","FES|PTPN11|PFN1|PRKCA|RAF1|STAM2|MAPK9|MAP2K2|SHC1|STAT3|NFKB2|PIK3R1|MAPK1|JAK3|MAPK3|STAT5B|PARP1|GSK3B|GSK3A|YWHAZ|MAP2K1|RPS6KB1|RPS6KA2|CREB1|EZR|MAPK8|GRB2|EPHB2|PXN|PTPRC|NFKBIA|CSF2RB|STAT1|IKBKB|CHUK|SYK|BAD|JAK1|PIK3R2|TGFB1|CRKL|CBL|MAPK7|VAV1|LYN|PTPN6|SH2B2|KIT|FOXO3|TEC|YES1|TGFBR3|MAP2K3|MAPK14|PRDX3|MAP2K6","GM-CSF","56","ENR","GM-CSF%IOB%GM-CSF","-1.4305","0.0","GM-CSF%IOB%GM-CSF",,,"false","GM-CSF%IOB%GM-CSF"
"1","-1.0","-0.6577","0.0609","M-CSF%IOB%M-CSF

","1.0","CSF1|GRB2|SOS1|SRC|PXN|PTPN11|ITGB3|RAF1|ITGAV|STAT1|MAP2K2|PRKCE|SHC1|STAT3|SLA2|PIK3R1|ETS2|TYK2|PSTPIP2|MAPK1|GAB3|PTK2B|FADD|JAK1|PPP2CA|MAPK3|STAT5B|PLCG2|MAP2K1|CBL|RPS6KB1|RPS6KB2|LYN|RPS6|PTPN6|INPP5D|GAB2|CSF1R|KHDRBS1|EIF4EBP1|RIPK1|GRAP2|INPPL1","M-CSF","43","ENR","M-CSF%IOB%M-CSF","-1.487","0.0","M-CSF%IOB%M-CSF",,,"false","M-CSF%IOB%M-CSF"
"1","-1.0","-0.6978","0.0329","SIGNALING EVENTS 
REGULATED BY RET 
TYROSINE 
KINASE%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS REGULATED 
BY RET TYROSINE 
KINASE ","0.95","MAPK8|GRB2|SOS1|SRC|HRAS|FRS2|DOK1|PXN|PTPN11|PRKCA|CRK|PIK3CA|SHC1|IRS1|PIK3R1|JUN|MAPK1|IRS2|RASA1|RHOA|MAPK3|GAB1|NCK1|CREB1|PTK2|PRKACA|PDLIM7|DOK4|DOK6|GRB10|RAP1A|RAC1","Signaling events regulated by Ret tyrosine kinase","32","ENR","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE","-1.5473","0.0","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE",,,"false","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE"
"1","-1.0","-0.7822","0.0086","BIOCARTA_CXCR4_
PATHWAY%MSIGDB_
C2%BIOCARTA_
CXCR4_PATHWAY","0.434","MAP2K1|HRAS|GNAQ|CXCR4|PRKCB|RAF1|PRKCA|CRK|PIK3CA|PIK3R1|MAPK1|PTK2B|RELA|MAPK3|NFKB1","BIOCARTA_CXCR4_PATHWAY","15","ENR","BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY","-1.6172","0.0","BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY",,,"false","BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY"
"1","-0.9959","-0.6807","0.0745","
KISSPEPTIN/KISSPEPTIN 
RECEPTOR SYSTEM 
IN THE 
OVARY%WIKIPATHWAYS_20210210%WP4871%HOMO 
SAPIENS ","1.0","MAP2K1|HRAS|KRAS|PIK3CD|PLCB1|PRKCQ|PLCB3|PLCB2|PRKCB|PRKCA|RAF1|PIK3CA|PRKCH|MAP2K2|PRKCE|MAPK1|MMP9|ARRB2|MAPK3|NFKB1|NRAS","Kisspeptin/Kisspeptin Receptor System in the Ovary","21","ENR","KISSPEPTIN/KISSPEPTIN RECEPTOR SYSTEM IN THE OVARY%WIKIPATHWAYS_20210210%WP4871%HOMO SAPIENS","-1.4498","0.0041","KISSPEPTIN/KISSPEPTIN RECEPTOR SYSTEM IN THE OVARY%WIKIPATHWAYS_20210210%WP4871%HOMO SAPIENS",,,"false","KISSPEPTIN/KISSPEPTIN RECEPTOR SYSTEM IN THE OVARY%WIKIPATHWAYS_20210210%WP4871%HOMO SAPIENS"
"1","-1.0","-0.62","0.0885","ERBB SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP673%HOMO 
SAPIENS ","1.0","CDKN1B|MYC|HRAS|SRC|PRKCB|PRKCA|RAF1|CRK|MAPK9|PIK3CA|ERBB2|MAP2K2|SHC1|ABL2|PIK3R1|MAPK1|PAK1|MAPK3|STAT5B|GSK3B|PLCG2|MAP2K1|RPS6KB1|CAMK2D|RPS6KB2|SHC4|CAMK2G|MTOR|MAPK8|ARAF|GRB2|SOS1|MAP2K4|PIK3CD|PAK4|FOXO1|SOS2|BRAF|BCL2L11|AKT3|PDPK1|BAD|CDKN1A|JUN|MDM2|PIK3R2|NCK1|KRAS|CRKL|CBL|NCK2|NRG1|TGFA|EGF|PIK3R3|EIF4EBP1|NRAS","ErbB Signaling Pathway","57","ENR","ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP673%HOMO SAPIENS","-1.4232","0.0","ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP673%HOMO SAPIENS",,,"false","ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP673%HOMO SAPIENS"
"1","-0.993","-0.6362","0.0968","EGF RECEPTOR 
(ERBB1) 
SIGNALING 
PATHWAY%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED DATA%EGF 
RECEPTOR (ERBB1) 
SIGNALING 
PATHWAY ","1.0","GRB2|SOS1|SRC|HRAS|GSN|PTPN11|GNAI1|TLN1|PIK3CA|STAT1|PIP5K1C|SHC1|STAT3|PIK3R1|PAK1|MAPK1|RASA1|GNAI3|MAPK3|PIK3CB|GAB1|PLCG1|NCK1|KRAS|PTPN1|NCK2|WASL|PTPN6|PTK2|EGF|NRAS","EGF receptor (ErbB1) signaling pathway","31","ENR","EGF RECEPTOR (ERBB1) SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EGF RECEPTOR (ERBB1) SIGNALING PATHWAY","-1.4113","0.007","EGF RECEPTOR (ERBB1) SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EGF RECEPTOR (ERBB1) SIGNALING PATHWAY",,,"false","EGF RECEPTOR (ERBB1) SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EGF RECEPTOR (ERBB1) SIGNALING PATHWAY"
"1","-1.0","-0.6853","0.0447","PID_EPO_
PATHWAY%MSIGDB_
C2%PID_EPO_
PATHWAY","0.986","MAPK8|GRB2|SOS1|HRAS|PTPN11|BCL2L1|SOCS3|BCL2|STAT1|SHC1|PIK3R1|STAT5B|PLCG2|VAV2|RAPGEF1|EPOR|CRKL|TRPC6|CBL|LYN|BTK|PTPN6|TEC|MAPK14|SH2B3|RAP1A|NFKB1","PID_EPO_PATHWAY","27","ENR","PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY","-1.5263","0.0","PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY",,,"false","PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY"
"1","-1.0","-0.6212","0.0727","SIGNALING EVENTS 
MEDIATED BY 
HEPATOCYTE 
GROWTH FACTOR 
RECEPTOR 
(C-MET)%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS MEDIATED 
BY HEPATOCYTE 
GROWTH FACTOR 
RECEPTOR (C-MET) ","1.0","SRC|HRAS|PTPN11|PRKCI|RAF1|CRK|PIK3CA|MAP2K2|SHC1|APC|EIF4E|PIK3R1|PAK1|MAPK1|MLST8|RHOA|MAPK3|NUMB|AKT1|ETS1|MAP2K1|PTPN1|PAK2|MTOR|PRKCZ|RAP1A|RAC1|INPPL1|MAPK8|GRB2|SOS1|MAP2K4|RAP1B|PXN|PAK4|F2RL2|AKT2|CDC42|ARF6|SH3KBP1|RPTOR|DEPTOR|AKT1S1|MUC20|ARHGEF4|RIN2|RAB5A|PDPK1|KPNB1|BAD|EPS15|JUN|RANBP9|CTNNB1|RANBP10|HGS|CDH1|CTNNA1|HGF|GAB1|PLCG1|RAPGEF1|CRKL|NCK1|CBL|PTPRJ|NCK2|PTPN2|WASL|PTK2|INPP5D|GAB2|MAP3K1|EIF4EBP1","Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)","74","ENR","SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)","-1.4542","0.0","SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)",,,"false","SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)"
"1","-1.0","-0.6555","0.0648","LEPTIN%IOB%LEPT
IN
","1.0","GRB2|PTPN11|ITGB5|PTEN|RAF1|ITGAV|STAT1|MAP2K2|PRKCE|IRS1|STAT3|PIK3R1|MAPK1|MAPKAPK2|JAK3|MAPK3|STAT5B|GSK3B|PIK3R2|GSK3A|MAP2K1|RPS6KB1|RPS6KA2|ATF2|RPS6|CFL2|SH2B1|SP1|LEPR|MAP2K3|MAPK14|PRKCZ|KHDRBS1|PDE3A|MAP2K6|SOCS7|NFKB1","Leptin","37","ENR","LEPTIN%IOB%LEPTIN","-1.4729","0.0","LEPTIN%IOB%LEPTIN",,,"false","LEPTIN%IOB%LEPTIN"
"1","-1.0","-0.5982","0.0995","PID_PDGFRB_
PATHWAY%MSIGDB_
C2%PID_PDGFRB_
PATHWAY","1.0","EIF2AK2|MYC|SRC|HRAS|BRK1|YWHAQ|PTPN11|YWHAG|WASF2|BAIAP2|CYFIP2|PTEN|PRKCA|RAF1|NCKAP1|CRK|PIK3CA|MAPK9|MAP2K2|SHC1|PRKCE|ARHGAP35|STAT3|PIK3R1|KSR1|MAPK1|PAK1|FYN|PPP2CA|MAPK3|STAT5B|PPP2R1A|VAV2|YWHAZ|MAP2K1|PTPN1|ARPC2|RPS6KA3|ACTR3|ACTR2|SLC9A3R1|GRB10|RAP1A|RAC1|MAPK8|GRB2|SOS1|MAP2K4|DOK1|PIK3CD|BRAF|ITGB3|ITGAV|STAT1|ACTA2|RAB5A|JUN|BLK|PIK3R5|PIK3R2|RAPGEF1|NCK1|KRAS|CBL|ACTN4|NCK2|LYN|WASL|PPP2R2B|CSK|USP6NL|SLA|RAB4A|DOCK4|ARAP1|SIPA1|FOS|YES1|PAG1|PIN1|JUND|PIK3R3|S1PR1|ARPC1B|ARPC4|ARPC3|LCK|NRAS","PID_PDGFRB_PATHWAY","88","ENR","PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY","-1.4061","0.0","PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY",,,"false","PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY"
"1","-0.9938","-0.7162","0.0595","SIGNALING BY 
PDGFR IN 
DISEASE%REACTOME 
DATABASE ID 
RELEASE 
75%9671555 ","1.0","PIK3R2|KANK1|SOS1|HRAS|PIK3CA|STAT1|STAT3|STRN|PIK3R1|WDR48|GOLGA4|FIP1L1|BIN2|ETV6|PIK3CB|NRAS","Signaling by PDGFR in disease","16","ENR","SIGNALING BY PDGFR IN DISEASE%REACTOME DATABASE ID RELEASE 75%9671555","-1.4916","0.0062","SIGNALING BY PDGFR IN DISEASE%REACTOME DATABASE ID RELEASE 75%9671555",,,"false","SIGNALING BY PDGFR IN DISEASE%REACTOME DATABASE ID RELEASE 75%9671555"
"1","-0.999","-0.6822","0.0442","PID_IL2_PI3K_
PATHWAY%MSIGDB_
C2%PID_IL2_PI3K_
PATHWAY","0.989","IL2RA|GRB2|MYC|SOS1|MYB|PTPN11|BCL2L1|EIF3A|BCL2|PIK3CA|SHC1|PIK3R1|IL2RG|JAK1|JAK3|SMPD1|RPS6KB1|IL2RB|RPS6|FOXO3|MTOR|GAB2|SGMS1|PRKCZ|UGCG|RELA|LCK|RAC1|NFKB1","PID_IL2_PI3K_PATHWAY","29","ENR","PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY","-1.5247","0.001","PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY",,,"false","PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY"
"1","-1.0","-0.6293","0.0752","SIGNALING EVENTS 
MEDIATED BY STEM 
CELL FACTOR 
RECEPTOR 
(C-KIT)%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS MEDIATED 
BY STEM CELL 
FACTOR RECEPTOR 
(C-KIT) ","1.0","MAPK8|GRB2|PTPRO|SPRED1|SOS1|PIK3C2B|HRAS|SPRED2|DOK1|CREBBP|STAP1|MITF|PTPN11|PTEN|RAF1|BCL2|PIK3CA|STAT1|MAP2K2|SHC1|STAT3|PDPK1|PIK3R1|BAD|MAP4K1|MAPK3|GAB1|AKT1|GSK3B|EPOR|MAP2K1|CRKL|CBL|RPS6KB1|VAV1|LYN|PTPN6|SH2B2|KIT|MATK|FOXO3|TEC|FER|STAT5A|SH2B3|JAK2|GRB10|GRAP2","Signaling events mediated by Stem cell factor receptor (c-Kit)","48","ENR","SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)","-1.4476","0.0","SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)",,,"false","SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)"
"1","-0.998","-0.6354","0.0857","IL-3 SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP286%HOMO 
SAPIENS ","1.0","MAPK8|GRB2|SOS1|SRC|HRAS|YWHAQ|PIK3CD|PTPN11|BCL2L1|RAF1|BCL2|CSF2RB|SHC1|CD69|ENPP3|STAT3|PIK3R1|CCR3|SYK|BAD|JUN|MAPK1|FYN|JAK1|MAPK3|STAT5B|PIK3R2|TGFB1|RAPGEF1|MAP2K1|CRKL|CBL|IL5RA|VAV1|LYN|PTPN6|INPP5D|FOS|GAB2","IL-3 Signaling Pathway","39","ENR","IL-3 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP286%HOMO SAPIENS","-1.429","0.002","IL-3 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP286%HOMO SAPIENS",,,"false","IL-3 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP286%HOMO SAPIENS"
"1","-1.0","-0.7658","0.0031","IL-7%NETPATH%IL
-7
","0.16","GSK3B|GSK3A|MAP2K1|FOXO1|FOXO3|STAT1|MAP2K2|SHC1|IRS1|CLTC|STAT3|PIK3R1|BAD|IL2RG|MAPK1|IL7|PTK2B|FYN|IL7R|JAK1|JAK3|MAPK3|STAT5B","IL-7","23","ENR","IL-7%NETPATH%IL-7","-1.6646","0.0","IL-7%NETPATH%IL-7",,,"false","IL-7%NETPATH%IL-7"
"1","-1.0","-0.6476","0.06","NON-SMALL CELL 
LUNG 
CANCER%WIKIPATHWAYS_20210210%WP4255%HOMO 
SAPIENS ","1.0","HRAS|CDK6|PRKCB|PRKCA|RAF1|CYCS|PIK3CA|ERBB2|MAP2K2|STAT3|PIK3R1|MAPK1|JAK3|MAPK3|STAT5B|PLCG2|MAP2K1|CDK4|ARAF|GRB2|CDKN2A|SOS1|POLK|DDB2|PIK3CD|FHIT|BAK1|E2F2|GADD45B|ALK|SOS2|RASSF1|BRAF|EML4|GADD45A|AKT3|RXRB|RARB|BAX|E2F3|BAD|CDKN1A|PIK3R2|KRAS|CASP9|RXRA|FOXO3|CASP3|TGFA|EGF|PIK3R3|RB1|STK4|NRAS","Non-small cell lung cancer","54","ENR","NON-SMALL CELL LUNG CANCER%WIKIPATHWAYS_20210210%WP4255%HOMO SAPIENS","-1.4889","0.0","NON-SMALL CELL LUNG CANCER%WIKIPATHWAYS_20210210%WP4255%HOMO SAPIENS",,,"false","NON-SMALL CELL LUNG CANCER%WIKIPATHWAYS_20210210%WP4255%HOMO SAPIENS"
"1","-1.0","-0.6876","0.0552","MIRNA REGULATION 
OF PROSTATE 
CANCER SIGNALING 
PATHWAYS%WIKIPATHWAYS_20210210%WP3981%HOMO 
SAPIENS ","1.0","CDKN1B|GRB2|SOS1|CREBBP|FOXO1|NFKBIA|RAF1|BCL2|AKT3|PIK3CA|MAP2K2|IKBKG|CDKN1A|BAD|MAPK1|CTNNB1|MDM2|NFATC2IP|GSK3B|PDGFA|PLCL2|MAP2K1|KRAS|CASP9|MTOR|NFKB1","miRNA regulation of prostate cancer signaling pathways","26","ENR","MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20210210%WP3981%HOMO SAPIENS","-1.5","0.0","MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20210210%WP3981%HOMO SAPIENS",,,"false","MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20210210%WP3981%HOMO SAPIENS"
"1","-1.0","-0.6927","0.02","KIT RECEPTOR 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO 
SAPIENS ","0.786","MAPK8|GRB2|SOS1|HRAS|SRC|DOK1|PTPN11|PRKCB|PRKCA|RAF1|BCL2|CRK|EP300|STAT1|MAP2K2|SHC1|STAT3|PIK3R1|BAD|MAPK1|FYN|MAPK3|STAT5B|PIK3R2|MAP2K1|CRKL|CBL|RPS6KB1|RPS6KA3|VAV1|RPS6KA1|LYN|BTK|PTPN6|RPS6|SH2B2|KIT|FOXO3|MATK|INPP5D|SOCS6|TEC|FOS|GAB2|JUNB|MAPK14|GRB10","Kit receptor signaling pathway","47","ENR","KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS","-1.5764","0.0","KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS",,,"false","KIT RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP304%HOMO SAPIENS"
"1","-1.0","-0.6048","0.088","B CELL RECEPTOR 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP23%HOMO 
SAPIENS ","1.0","MEF2D|MYC|HRAS|MEF2C|PTPN11|PRKCB|RAF1|CRK|MAPK9|MAP2K2|SHC1|PIK3R1|MAP4K1|MAPK1|FYN|GSK3B|PLCG2|GSK3A|VAV2|MAP2K1|CD79B|CD79A|RPS6KA1|ATF2|CREB1|RAC1|MAPK8|REL|GRB2|MAP3K7|SOS1|FOXO1|PTPRC|NFKBIA|BRAF|CDC42|NFATC3|PIP5K1C|IKBKB|NFATC2|IKBKG|IRF4|CD81|PIP5K1A|E2F3|CHUK|PDPK1|SYK|HCLS1|JUN|BLK|PIK3R2|BLNK|RAPGEF1|GTF2I|NCK1|CR2|CRKL|CBL|LAT2|DAPP1|BCL10|RASGRP3|VAV1|CD19|LYN|BCL6|BTK|PTPN18|CD22|PTPN6|INPP5D|TEC|GAB2|MAPK14|RELA|LCK|MAP2K6|NFKB1","B Cell Receptor Signaling Pathway","79","ENR","B CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP23%HOMO SAPIENS","-1.4252","0.0","B CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP23%HOMO SAPIENS",,,"false","B CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP23%HOMO SAPIENS"
"1","-1.0","-0.6231","0.0683","KITRECEPTOR%NET
PATH%KITRECEPTO
R
","1.0","FES|CDK2|SRC|HRAS|PTPN11|PRKCB|PRKCA|RAF1|CRK|PIK3CA|MAP2K2|SHC1|CLTC|STAT3|PIK3R1|PAK1|MAPK1|FYN|IL7R|JAK3|MAPK3|STAT5B|PLCG2|GSK3B|GSK3A|EPOR|MAP2K1|RPS6KB1|RPS6KA1|ATF2|ACTR2|WAS|MTOR|EZR|GRB10|SOCS5|MAPK8|GRB2|SOS1|SPRED1|DOK1|DOK3|RAB7A|CSF2RB|RDX|EP300|STAT1|TNFRSF10A|LAT|WIPF1|NFATC2|GYS1|BAD|JUN|PIK3R2|CRKL|CBL|VAV1|LYN|BTK|PTPN6|RPS6|SH2B2|KIT|FOXO3|MATK|INPP5D|SOCS6|TEC|GAB2|YES1|GRAP|SH2B3|MAPK14|EIF4EBP1|RELA","KitReceptor","76","ENR","KITRECEPTOR%NETPATH%KITRECEPTOR","-1.4633","0.0","KITRECEPTOR%NETPATH%KITRECEPTOR",,,"false","KITRECEPTOR%NETPATH%KITRECEPTOR"
"1","-0.9979","-0.7227","0.0308","BIOCARTA_
BIOPEPTIDES_
PATHWAY%MSIGDB_
C2%BIOCARTA_
BIOPEPTIDES_
PATHWAY","0.926","MAPK8|GRB2|SOS1|MAP2K1|HRAS|CALM2|PRKCB|RAF1|PRKCA|STAT1|MAP2K2|SHC1|STAT3|MAPK1|PTK2B|MAPK14|FYN|CDK5|MAPK3","BIOCARTA_BIOPEPTIDES_PATHWAY","19","ENR","BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY","-1.5517","0.0021","BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY",,,"false","BIOCARTA_BIOPEPTIDES_PATHWAY%MSIGDB_C2%BIOCARTA_BIOPEPTIDES_PATHWAY"
"1","-0.998","-0.6493","0.0704","PID_INSULIN_
PATHWAY%MSIGDB_
C2%PID_INSULIN_
PATHWAY","1.0","GRB2|SOS1|HRAS|DOK1|SGK1|PTPRA|PTPN11|PRKCI|F2RL2|EXOC4|CRK|PIK3CA|SHC1|IRS1|PIK3R1|INSR|PDPK1|RAPGEF1|NCK1|EXOC6|PTPN1|RPS6KB1|CBL|EXOC5|EXOC2|EXOC1|NCK2|TRIP10|SH2B2|FOXO3|PRKCZ|EIF4EBP1|GRB10","PID_INSULIN_PATHWAY","33","ENR","PID_INSULIN_PATHWAY%MSIGDB_C2%PID_INSULIN_PATHWAY","-1.4597","0.002","PID_INSULIN_PATHWAY%MSIGDB_C2%PID_INSULIN_PATHWAY",,,"false","PID_INSULIN_PATHWAY%MSIGDB_C2%PID_INSULIN_PATHWAY"
