"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","REGULATION OF 
MRNA SPLICING, 
VIA 
SPLICEOSOME%GOBP%GO:0048024 ",,"LARP7|ZBTB7A|CWC22|SON|SF1|WTAP|SRSF3|HNRNPL|SRSF4|RBFOX2|SRSF7|RBFOX3|YTHDC1|CELF1|SFSWAP|SRSF12|FAM172A|SRSF10|KHDRBS2|RBM15B|U2AF2|MBNL2|RBM39|MBNL3|NSRP1|SMU1|HNRNPU|RBM7|RBM5|PCBP4|CELF2|CELF6|RBM11|RBM25|THRAP3|HNRNPA1|HNRNPK|SRPK2|RBFOX1|SAP18|DDX17|METTL16|PUF60|SRSF6|C9ORF78|SRSF9|FXR2|KHDRBS1|FXR1|FMR1|QKI|DDX5|C1QBP|SNW1|NUP98|RBMX|JMJD6|RBM4|TIA1|MBNL1|MAGOH|NCBP1|RBM8A|PTBP1|RNPS1|PRDX6|SF3B4|RBMXL1|REST|TRA2B|RBM15|TRA2A|CIRBP|DAZAP1|ZC3H10|NCL|SRPK1|RBM3|RBM23","regulation of mRNA splicing, via spliceosome","79","ENR","REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0048024","1.0","0.01","REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0048024","false","REGULATION OF MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0048024"
"0.99",,"1.0","METABOLIC 
DISORDERS OF 
BIOLOGICAL 
OXIDATION 
ENZYMES%REACTOME%R-HSA-5579029.2 ",,"GSS|CYP21A2|FDX1|TBXAS1|AHCY|GGT1|CYP2R1|CYP27A1|GCLC|CYP2U1|TPMT|SLC35D1|CYP7B1|GCLM|CYP1B1","Metabolic disorders of biological oxidation enzymes","15","ENR","METABOLIC DISORDERS OF BIOLOGICAL OXIDATION ENZYMES%REACTOME%R-HSA-5579029.2","1.0","0.01","METABOLIC DISORDERS OF BIOLOGICAL OXIDATION ENZYMES%REACTOME%R-HSA-5579029.2","false","METABOLIC DISORDERS OF BIOLOGICAL OXIDATION ENZYMES%REACTOME%R-HSA-5579029.2"
"0.99",,"1.0","SWITCHING OF 
ORIGINS TO A 
POST-REPLICATIVE 
STATE%REACTOME 
DATABASE ID 
RELEASE 75%69052 ",,"CDK2|ANAPC15|ANAPC7|ANAPC16|MCM3|UBE2E1|ANAPC11|UBE2S|CDC26|CDC16|ANAPC4|FZR1|CUL1|SKP1|UBE2D1|CDC23|CDC27|ANAPC5|ANAPC1|ANAPC2|ANAPC10|PSME2|CCNA2|PSMA4|PSMA1|PSMA2|PSME3|MCM8|MCM2|PSME4|ORC5|PSME1|ORC4|PSMD10|PSMD12|ORC3|PSMD11|ORC2|PSMD14|PSMD13|PSMA7|PSMB10|UBB|PSMB6|UBC|PSMB7|PSMB4|PSMB5|PSMB2|PSMB3|PSMB1|UBA52|PSMF1|PSMB8|PSMB9|PSMC5|MCM6|PSMC6|PSMC3|PSMC4|PSMC1|PSMC2|PSMD8|PSMD9|MCM7|PSMD6|PSMD7|PSMD4|PSMD5|PSMD2|PSMD3|PSMD1|RPS27A|MCM5|PSMA5|PSMA6|PSMA3|RBX1|CCNE2|MCM4|SKP2","Switching of origins to a post-replicative state","81","ENR","SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 75%69052","1.0","0.01","SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 75%69052","false","SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME DATABASE ID RELEASE 75%69052"
"0.99",,"1.0","OXIDATIVE STRESS 
INDUCED 
SENESCENCE%REACTOME%R-HSA-2559580.4 ",,"CDKN2B|EED|MAPKAPK3|CDK6|MAPK9|MAPKAPK5|MAPK1|MAP2K7|MAPK3|CDKN2D|SUZ12|PHC2|RBBP7|PHC1|RING1|CBX4|PHC3|RNF2|CBX6|CDK4|MOV10|RBBP4|TXN|MAP3K5|MAPK8|MINK1|CDKN2A|UBB|MAP2K4|UBC|E2F2|UBA52|TNIK|E2F3|TFDP1|TFDP2|JUN|MAPKAPK2|TP53|TNRC6C|AGO3|AGO4|MDM2|AGO1|RPS27A|TNRC6A|TNRC6B|MDM4|FOS|KDM6B|BMI1|MAP2K3|MAP4K4|MAPK14|EZH2|MAP2K6","Oxidative Stress Induced Senescence","56","ENR","OXIDATIVE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559580.4","1.0","0.01","OXIDATIVE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559580.4","false","OXIDATIVE STRESS INDUCED SENESCENCE%REACTOME%R-HSA-2559580.4"
"0.99",,"1.0","
CDC20:PHOSPHO-APC 
C MEDIATED 
DEGRADATION OF 
CYCLIN 
A%REACTOME%R-HSA-174184.2 ",,"ANAPC15|ANAPC7|ANAPC16|UBE2E1|ANAPC11|UBE2S|CDC26|CDC16|ANAPC4|UBE2D1|CDC23|CDC27|ANAPC5|ANAPC1|ANAPC2|ANAPC10|PSME2|CCNA2|PSMA4|PSMA1|PSMA2|PSME3|PSME4|PSME1|PSMD10|BUB3|PSMD12|PSMD11|PSMD14|PSMD13|PSMA7|PSMB10|UBB|PSMB6|UBC|PSMB7|PSMB4|PSMB5|PSMB2|PSMB3|PSMB1|UBA52|PSMF1|PSMB8|PSMB9|PSMC5|PSMC6|PSMC3|PSMC4|PSMC1|PSMC2|PSMD8|PSMD9|PSMD6|PSMD7|PSMD4|PSMD5|PSMD2|PSMD3|PSMD1|RPS27A|PSMA5|PSMA6|PSMA3","Cdc20:Phospho-APC C mediated degradation of Cyclin A","64","ENR","CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.2","1.0","0.01","CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.2","false","CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.2"
"0.99",,"1.0","B CELL 
ACTIVATION%PANTHER 
PATHWAY%P00010 ",,"HRAS|PRKCB|RAF1|ITPR1|MAPK9|ITPR2|PIK3CA|ITPR3|MAP2K2|MAPK1|MAP3K2|MAPK3|PLCG2|VAV2|MAP2K1|CD79B|CD79A|RAC2|CALM1|MAP3K3|RAC1|MAPK8|ARAF|GRB2|SOS1|PIK3CD|PTPRC|PPP3CA|PPP3CB|NFKBIA|SOS2|BRAF|IKBKB|CHUK|SYK|SIRT6|JUN|VAV3|PIK3CB|BLNK|PRKCD|CD19|VAV1|LYN|BTK|CD22|PTPN6|FOS|PIK3CG|NFKBIL1|GRAP|MAPK14|MAPK13|NRAS","B cell activation","54","ENR","B CELL ACTIVATION%PANTHER PATHWAY%P00010","1.0","0.01","B CELL ACTIVATION%PANTHER PATHWAY%P00010","false","B CELL ACTIVATION%PANTHER PATHWAY%P00010"
"0.99",,"1.0","MUSCLE CELL 
DIFFERENTIATION%GOBP%GO:0042692 ",,"AKAP13|OBSCN|CBY1|FLII|ACVR1|ADAMTS5|FHOD3|PDLIM5|WDR1|MEF2C|SORBS2|ENG|ADAM12|SKI|SYNE1|MYEF2|RYR1|SORT1|TMOD1|TMOD4|TMOD3|TPM1|TMOD2|SLC8A1|DYSF|TNNT3|POPDC2|KDM1A|DMD|KCNH1|CSRP1|TMEM204|PLD3|CD9|PGM5|CSRP2|BIN1|RORA|ANK2|LBX2|MAML1|JAM2|NOTCH1|MYOF|VEGFA|CHRNB1|CD81|CFLAR|MYH3|NRG1|CAPN3|SEMA4C|KDM6B|SIK1|NEBL|NEB|MYH11|GLMN|BMPR1A|TTN|PDGFRB|ALPK3|MEF2A","muscle cell differentiation","63","ENR","MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692","1.0","0.01","MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692","false","MUSCLE CELL DIFFERENTIATION%GOBP%GO:0042692"
"0.99",,"1.0","INTERSTRAND 
CROSS-LINK 
REPAIR%GOBP%GO:0036297 ",,"USP1|MUS81|DCLRE1A|POLN|UBB|UBC|FAN1|RNF168|ERCC4|FANCA|UBA52|NUCKS1|ERCC1|MSH6|FANCD2|XRCC3|RNF8|DCLRE1C|WDR48|FANCB|RPA3|VCP|RPA1|RPS27A|ERCC6L2|FANCI|ATR|FANCL|EXO5|FANCM|FANCC|FANCE|FANCG|SLX4|FANCF|XPA|SLX1B|MCM8|RPA2|MCM9|RFWD3|EME1|DCLRE1B|ATRIP|NEIL3","interstrand cross-link repair","45","ENR","INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297","1.0","0.01","INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297","false","INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297"
"0.99",,"1.0","ERROR-PRONE 
TRANSLESION 
SYNTHESIS%GOBP%GO:0042276 ",,"RPS27A|RPA1|POLK|RFC5|UBB|RFC4|UBC|POLH|UBA52|MAD2L2|POLE2|POLI|PRIMPOL|RFC1|REV1|REV3L|PCNA|RFC3|RPA2|RFC2|RPA3","error-prone translesion synthesis","21","ENR","ERROR-PRONE TRANSLESION SYNTHESIS%GOBP%GO:0042276","1.0","0.01","ERROR-PRONE TRANSLESION SYNTHESIS%GOBP%GO:0042276","false","ERROR-PRONE TRANSLESION SYNTHESIS%GOBP%GO:0042276"
"0.99",,"1.0","SPLICEOSOMAL 
COMPLEX 
ASSEMBLY%GOBP%GO:0000245 ",,"SF1|PRPF19|SRSF5|SNRPG|SNRPE|YTHDC1|CELF1|SFSWAP|SNRNP200|SRSF12|SRSF10|ISY1|SMN2|SNRPD2|SNRPD1|SCAF11|DDX23|GCFC2|LUC7L|RBM5|DDX1|CELF2|CELF6|SF3A3|SF3A1|DDX39B|SF3A2|TXNL4A|SNRPC|PSIP1|CRNKL1|PRPF6|SETX|ZRSR2|PRPF39|USP39|LUC7L3|LUC7L2|SRPK2|SLU7|NCBP1|SRSF1|PUF60|SRSF6|SF3B1|SRSF9|SRPK1","spliceosomal complex assembly","47","ENR","SPLICEOSOMAL COMPLEX ASSEMBLY%GOBP%GO:0000245","1.0","0.01","SPLICEOSOMAL COMPLEX ASSEMBLY%GOBP%GO:0000245","false","SPLICEOSOMAL COMPLEX ASSEMBLY%GOBP%GO:0000245"
"0.99",,"1.0","HALLMARK_TGF_BETA_
SIGNALING%MSIGDB_
C2%HALLMARK_TGF_
BETA_SIGNALING",,"TGIF1|MAP3K7|ACVR1|FKBP1A|ENG|FURIN|PPP1R15A|ID2|SLC20A1|SKI|CDK9|APC|RAB31|ID3|UBE2D3|IFNGR2|CTNNB1|SPTBN1|TGFB1|SKIL|CDKN1C|HDAC1|HIPK2|FNTA|NCOR2|BMPR2|ARID4B|THBS1|SMAD1|JUNB|TGFBR1|SMURF2|LTBP2|NOG|SMURF1|BMPR1A","HALLMARK_TGF_BETA_SIGNALING","36","ENR","HALLMARK_TGF_BETA_SIGNALING%MSIGDB_C2%HALLMARK_TGF_BETA_SIGNALING","1.0","0.01","HALLMARK_TGF_BETA_SIGNALING%MSIGDB_C2%HALLMARK_TGF_BETA_SIGNALING","false","HALLMARK_TGF_BETA_SIGNALING%MSIGDB_C2%HALLMARK_TGF_BETA_SIGNALING"
"0.99",,"1.0","BIOCARTA_STRESS_
PATHWAY%MSIGDB_
C2%BIOCARTA_
STRESS_PATHWAY",,"MAPK8|MAP2K4|NFKBIA|IKBKB|CRADD|TANK|IKBKG|MAP4K2|ATF1|CHUK|TNFRSF1A|JUN|MAP2K3|MAPK14|TRADD|MAP3K1|RELA|RIPK1|TRAF2|MAP2K6|NFKB1","BIOCARTA_STRESS_PATHWAY","21","ENR","BIOCARTA_STRESS_PATHWAY%MSIGDB_C2%BIOCARTA_STRESS_PATHWAY","1.0","0.01","BIOCARTA_STRESS_PATHWAY%MSIGDB_C2%BIOCARTA_STRESS_PATHWAY","false","BIOCARTA_STRESS_PATHWAY%MSIGDB_C2%BIOCARTA_STRESS_PATHWAY"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
SMOOTH MUSCLE 
CELL 
PROLIFERATION%GOBP%GO:0048661 ",,"IL6R|MEF2D|PHB|CDH13|DNMT1|ID2|CCL5|P2RY6|HMOX1|AIF1|STAT1|IL18|JUN|ADAMTS1|TNF|AKT1|LDLRAP1|FOXJ2|PDGFB|FOXP1|THBS1|ERN1|MFN2|MMP9|BMPR1A|PDGFRB","positive regulation of smooth muscle cell proliferation","26","ENR","POSITIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048661","1.0","0.01","POSITIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048661","false","POSITIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048661"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
TRANSMEMBRANE 
RECEPTOR PROTEIN 
SERINE/THREONINE 
KINASE SIGNALING 
PATHWAY%GOBP%GO:0090100 ",,"CDKN2B|ACVR1|CRB2|ZEB2|ENG|BMP8A|BMP8B|ING2|CITED2|SMAD4|KIAA0319|TGFB3|RNF111|DAB2|STK11|RNF165|CDKN1C|HIPK2|C20ORF27|TWSG1|GDF11|THBS1|SDCBP|SH2B1|HFE|CREBBP|RBPMS|RBPJ|GIPC1|NOTCH1|SNW1|EP300|HSP90AB1|BMP6|FLCN|ACVR2B|ACVR2A|TGFB1|ADAM17|MEN1|BMPR2|NUP93|FBXL15|UBE2O|SMAD2|TGFBR1|BMPR1A|JAK2|ACVR1B|NUMA1|CSNK2B","positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","51","ENR","POSITIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090100","1.0","0.01","POSITIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090100","false","POSITIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090100"
"0.99",,"1.0","LIPID 
OXIDATION%GOBP%GO:0034440 ",,"ACSM1|ABCD2|ABCD1|ABCD3|SLC25A17|EHHADH|HSD17B4|ECHS1|HADHB|DECR1|AMACR|GCDH|PEX2|PEX13|ADIPOR1|ACADVL|CRAT|ALDH3A2|ACOT8|PLA2G7|HSD17B10|ALOX12|ACAA2|ECI1|ECI2|ACAD11|ACAD10|ACAT2|ACADS|PHYH|HACL1|AUH|IVD|ABCD4|ILVBL|ACOXL|HADHA|ACOX3|CYP4V2|CROT|ACAA1|MCAT|CPT2|ETFA|ETFB|ACADM|PPARD|ALOX5|PECR|MECR|ECHDC1|ETFDH|ECHDC2|SCP2|HADH|ACOX1|ACAT1|ADH5|BDH2|ALOX15|ADIPOR2","lipid oxidation","61","ENR","LIPID OXIDATION%GOBP%GO:0034440","1.0","0.01","LIPID OXIDATION%GOBP%GO:0034440","false","LIPID OXIDATION%GOBP%GO:0034440"
"0.99",,"1.0","REGULATION OF 
RESPONSE TO 
BIOTIC 
STIMULUS%GOBP%GO:0002831 ",,"OPTN|LY96|USP15|SIRT2|PRKCA|TARBP2|CRTAM|PCBP2|PUM2|PUM1|TRIM5|ELMOD2|ITCH|RNF216|HERC5|RNF26|CD36|CARD16|ANKRD17|TRAF3|MUL1|BIRC2|ZC3H12A|CD55|EIF2AK4|MICB|PQBP1|TRAF3IP2|CACTIN|GRN|PVR|DTX3L|ZDHHC11|TRIB1|SIN3A|IFNLR1|AIM2|LILRA2|HSPD1|LTF|TRIM44|FAM3A|MAPKBP1|SASH1|PTPN22|MR1|C1QBP|ZMPSTE24|IL12RB1|PARP9|BMP6|STAT1|LY86|FBXO38|ZCCHC3|CD180|DHX58|DDX60|SCIMP|IL23R|AHR|F2RL1|TNFAIP3|SIGIRR|CEACAM1|DDX58|MAVS|LILRB1|SPI1|DHX9|TRAF3IP1|HSP90AA1|BIRC3|CD226|CD274|FOXP1|PPM1B|CARD8|APOBEC3F|CYBA|APOBEC3G|GPATCH3|NPLOC4|SEC14L1|NFKBIL1|HMGB1|RNF125|RIOK3|IL4I1|ARG1|LRSAM1","regulation of response to biotic stimulus","91","ENR","REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002831","1.0","0.01","REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002831","false","REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002831"
"0.99",,"1.0","CELL-CELL 
JUNCTION 
ORGANIZATION%REACTOME%R-HSA-421270.5 ",,"CDH13|CADM2|CLDN20|CDH2|CLDN15|CDH12|CTNND1|PRKCI|JUP|PARD6G|PARD6B|MPP5|PVR|CDH4|CADM1|PARD3|CTNNB1|SDK1|SDK2|CDH1|F11R|CTNNA1","Cell-cell junction organization","22","ENR","CELL-CELL JUNCTION ORGANIZATION%REACTOME%R-HSA-421270.5","1.0","0.01","CELL-CELL JUNCTION ORGANIZATION%REACTOME%R-HSA-421270.5","false","CELL-CELL JUNCTION ORGANIZATION%REACTOME%R-HSA-421270.5"
"0.99",,"1.0","NEGATIVE 
REGULATION OF B 
CELL 
ACTIVATION%GOBP%GO:0050869 ",,"BANK1|CTLA4|FCGR2B|LYN|TNFRSF13B|ID2|ATM|CR1|CD300A|SAMSN1|RC3H1|TYROBP|LAPTM5|TNFAIP3|PARP3|THOC1|BLK|TNFRSF21|MNDA","negative regulation of B cell activation","19","ENR","NEGATIVE REGULATION OF B CELL ACTIVATION%GOBP%GO:0050869","1.0","0.01","NEGATIVE REGULATION OF B CELL ACTIVATION%GOBP%GO:0050869","false","NEGATIVE REGULATION OF B CELL ACTIVATION%GOBP%GO:0050869"
"0.99",,"1.0","PHOTORECEPTOR 
CELL 
MAINTENANCE%GOBP%GO:0045494 ",,"SPATA7|CDH23|SLC2A1|CRB2|BBS1|CLRN1|NPHP3|BBS4|BBS2|IQCB1|MKKS|USP45|MAK|DRAM2|BBS10|BBS12","photoreceptor cell maintenance","16","ENR","PHOTORECEPTOR CELL MAINTENANCE%GOBP%GO:0045494","1.0","0.01","PHOTORECEPTOR CELL MAINTENANCE%GOBP%GO:0045494","false","PHOTORECEPTOR CELL MAINTENANCE%GOBP%GO:0045494"
"0.99",,"1.0","CONTRACTILE 
ACTIN FILAMENT 
BUNDLE 
ASSEMBLY%GOBP%GO:0030038 ",,"SORBS1|TNFAIP1|CUL3|SRC|PDLIM1|FAM171A1|FHDC1|ITGB5|ZYX|PDCD10|PHACTR1|ITGB1|RHOA|KCTD13|ARRB1","contractile actin filament bundle assembly","15","ENR","CONTRACTILE ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0030038","1.0","0.01","CONTRACTILE ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0030038","false","CONTRACTILE ACTIN FILAMENT BUNDLE ASSEMBLY%GOBP%GO:0030038"
"0.99",,"1.0","RNA POLYMERASE II 
TRANSCRIBES 
SNRNA 
GENES%REACTOME%R-HSA-6807505.2 ",,"ZNF143|RPRD2|ELL2|RPRD1B|RPRD1A|INTS1|PHAX|RPAP2|INTS2|INTS5|INTS4|INTS7|SRRT|INTS6|INTS9|INTS8|SNAPC5|INTS12|SNAPC1|SNAPC2|SNAPC3|SNAPC4|INTS10|POLR2G|TAF9|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|TAF5|POLR2H|POLR2I|CDK7|POLR2J|POLR2K|POLR2L|SUPT4H1|SUPT5H|CDK9|ELL|PCF11|GTF2A1|CCNT2|POU2F1|POU2F2|GTF2A2|TBP|TAF13|CCNT1|GTF2E1|CCNK|GTF2E2|TAF11|TAF8|TAF6|GTF2F1|GTF2F2|GTF2B|NCBP1|ZC3H8|NCBP2|INTS3|SSU72|NABP1|SP1|NABP2","RNA polymerase II transcribes snRNA genes","68","ENR","RNA POLYMERASE II TRANSCRIBES SNRNA GENES%REACTOME%R-HSA-6807505.2","1.0","0.01","RNA POLYMERASE II TRANSCRIBES SNRNA GENES%REACTOME%R-HSA-6807505.2","false","RNA POLYMERASE II TRANSCRIBES SNRNA GENES%REACTOME%R-HSA-6807505.2"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
MITOCHONDRIAL 
MEMBRANE 
PERMEABILITY%GOBP%GO:0035794 ",,"BNIP3L|MOAP1|VDAC2|ATF2|RHOT2|RHOT1|HEBP2|BCL2L11|BNIP3|SPG7|BLOC1S2|BAX|PPIF|PMAIP1|BAD|BMF|STPG1","positive regulation of mitochondrial membrane permeability","17","ENR","POSITIVE REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0035794","1.0","0.01","POSITIVE REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0035794","false","POSITIVE REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0035794"
"0.99",,"1.0","REGULATION OF 
AMINE 
TRANSPORT%GOBP%GO:0051952 ",,"ARL6IP5|SLC12A2|KCNA2|RAB3GAP1|CHRNB2|CHGA|SYT11|SLC43A2|SLC43A1|SYT15|SYT9|ARL6IP1|DTNBP1|PER2|GRM7|ITGB1|SYT2|SYT1|SNCA|TOR1A|RAB3B|STK39|SYT17","regulation of amine transport","23","ENR","REGULATION OF AMINE TRANSPORT%GOBP%GO:0051952","1.0","0.01","REGULATION OF AMINE TRANSPORT%GOBP%GO:0051952","false","REGULATION OF AMINE TRANSPORT%GOBP%GO:0051952"
"0.99",,"1.0","AMINO ACID 
TRANSMEMBRANE 
TRANSPORT%GOBP%GO:0003333 ",,"SLC38A10|SLC38A1|ARL6IP5|SLC38A11|SLC38A2|SLC38A5|SLC38A4|SLC25A38|SLC25A29|PRAF2|SLC7A6|SLC25A15|SLC7A7|SLC3A2|SLC22A4|SLC6A6|SLC36A4|SLC36A1|SLC1A1|SLC1A3|SLC7A1|SLC1A4|SLC1A5|LRRC8D|SLC7A5|SLC25A13|SLC38A9|SLC25A18|SLC25A12|SLC38A7|SLC25A22|SLC38A6|SLC6A8|MFSD12|SLC6A9","amino acid transmembrane transport","35","ENR","AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:0003333","1.0","0.01","AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:0003333","false","AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:0003333"
"0.99",,"1.0","REGULATION OF 
NEURON 
DEATH%GOBP%GO:1901214 ",,"EPHB1|NSMF|CPEB4|HTRA2|LGMN|ITGB2|TLR6|TGFB3|PTK2B|GBA|FYN|PPT1|TNF|GSK3B|AKT1|DAXX|SIGMAR1|LANCL1|BTBD10|CHMP4B|CHMP4A|HIF1A|ITGAM|GRN|TRIM2|LRRK2|CDK5|CD200|CSF1|DHCR24|TLR4|NAIP|CCL5|RILPL1|CNTF|IKBKG|PICALM|CLCF1|CTNNB1|NONO|KDM2B|ZNF746|AGAP2|SET|SORL1|SOD1|NAE1|PINK1|F2R|SNCA|PARK7|INPP5A|MEF2C|PRKCI|SARM1|DDIT4|RASA1|MAPT|TSC1|NRBP2|DDIT3|ATF4|SRPK2|EIF2S1|CHGA|BDNF|TBK1|SNX6|TYROBP|CX3CR1|NENF|TRAF2|MAP3K5|TNFRSF1B|SOD2|PRNP|CLN3|UBB|CD200R1|CLU|FBXO7|MCL1|CTSZ|BCL2|LIG4|MSH2|BAX|AKT1S1|GPR75|VPS35|CHP1|BACE1|SULT1A3|FCGR2B|GRID2|NF1|FOXO3|FBXW7|CDK5R1|ADAM8|ATP13A2|FOS|KIF14|RRAS2|EIF4G1|REST|EGLN2|BHLHB9","regulation of neuron death","108","ENR","REGULATION OF NEURON DEATH%GOBP%GO:1901214","1.0","0.01","REGULATION OF NEURON DEATH%GOBP%GO:1901214","false","REGULATION OF NEURON DEATH%GOBP%GO:1901214"
"0.99",,"1.0","AMPLIFICATION OF 
SIGNAL FROM THE 
KINETOCHORES%REACTOME 
DATABASE ID 
RELEASE 
75%141424 ",,"DYNC1LI1|SKA2|PPP2R5D|DYNC1LI2|XPO1|SPDL1|NDEL1|ZW10|NDC80|NDE1|TAOK1|PPP2CA|PPP2CB|RANGAP1|KIF18A|B9D2|CLASP1|PPP2R1A|CLASP2|KIF2A|ZWILCH|PAFAH1B1|AHCTF1|DYNC1H1|PPP1CC|BUB3|PPP2R5B|PPP2R5A|RCC2|DYNLL1|KNTC1|MAPRE1|INCENP|MAD1L1|RANBP2|NUP43|NUP37|DYNLL2|NUP85|RPS27|SEC13|NUP160|NUDC|NUP107|CENPE|MIS12|PPP2R5E|NSL1|PPP2R5C|SPC25|ITGB3BP|PPP2R1B|ERCC6L|NUP133|PMF1|CENPC|DSN1|CENPF|KIF2C|CENPT|CENPU|CKAP5|CLIP1|BUB1|CENPK|DYNC1I2|CENPL|CENPN|CENPO|CENPP|CENPQ","Amplification of signal from the kinetochores","71","ENR","AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME DATABASE ID RELEASE 75%141424","1.0","0.01","AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME DATABASE ID RELEASE 75%141424","false","AMPLIFICATION OF SIGNAL FROM THE KINETOCHORES%REACTOME DATABASE ID RELEASE 75%141424"
"0.99",,"1.0","PROTEIN 
MONOUBIQUITINATION%GOBP%GO:0006513 ",,"PCGF1|PCGF6|PCGF2|UBE2E1|BCOR|WAC|HUWE1|TOPORS|RNF126|KBTBD8|TRIM25|SKP1|UBE2D3|TRIM21|KLHL22|PEX12|CUL3|RING1|LEO1|PCGF5|TRIM37|RYBP|DTX3L|CUL4B|RNF2|RNF40|DDB1|CTR9|ATXN7L3|RNF20|DDB2|MGRN1|PAF1|CDC73|RNF168|RAD18|KLHL12|UBE2W|KDM2B|RBX1|UBE2R2|UBE3D|FANCL|UBE2O|NEURL1|BMI1|UBE2B|PCGF3|ZNF598","protein monoubiquitination","49","ENR","PROTEIN MONOUBIQUITINATION%GOBP%GO:0006513","1.0","0.01","PROTEIN MONOUBIQUITINATION%GOBP%GO:0006513","false","PROTEIN MONOUBIQUITINATION%GOBP%GO:0006513"
"0.99",,"1.0","TRANSPORT OF 
MATURE MRNAS 
DERIVED FROM 
INTRONLESS 
TRANSCRIPTS%REACTOME 
DATABASE ID 
RELEASE 
75%159234 ",,"SYMPK|SLBP|AAAS|NUP50|NUP54|NUP214|RANBP2|NUP43|NUP210|NUP35|EIF4E|NUP37|NUP205|FIP1L1|POM121C|NUP85|NUP88|POM121|TPR|NDC1|RAE1|NUP188|SEC13|NUP62|CPSF4|NUP160|NUP107|NUP155|NUP153|ALYREF|NCBP1|NCBP2|NUP93|NXF1|CPSF1|NUP133|CPSF3|WDR33|CPSF2","Transport of Mature mRNAs Derived from Intronless Transcripts","39","ENR","TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME DATABASE ID RELEASE 75%159234","1.0","0.01","TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME DATABASE ID RELEASE 75%159234","false","TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME DATABASE ID RELEASE 75%159234"
